headword,meaning
various,বিভিন্ন, নানাবিধ
vary,পরিবর্তন করা, ভিন্ন হওয়া
vast,বিশাল, প্রকাণ্ড
vegetable,সবজি, তরকারি
vehicle,যানবাহন, মাধ্যম
veil,ঘোমটা, আড়াল করা, পর্দা
vein,শিরা, ধরণ, মেজাজ
velocity,বেগ, গতিবেগ
velvet,মখমল, মখমলের মত নরম
venerable,শ্রদ্ধেয়, পূজনীয়
vengeance,প্রতিশোধ, প্রতিহিংসা
venture,ঝুঁকিপূর্ণ উদ্যোগ, সাহস করা
verb,ক্রিয়া, ক্রিয়াপদ
verge,প্রান্ত, সীমানা, ঝুঁকে পড়া
verify,যাচাই করা, সত্যতা প্রমাণ করা
verse,কবিতা, শ্লোক, পদ্য
version,সংস্করণ, বিবরণ, রূপান্তর
very,খুব, অত্যন্ত, প্রকৃত
vessel,পাত্র, জাহাজ, রক্তনালী
vest,ভেস্ট, কটিদেশীয় অন্তর্বাস, অর্পণ করা
veteran,অভিজ্ঞ ব্যক্তি, প্রবীণ সৈনিক
vex,বিরক্ত করা, উত্যক্ত করা
vibrate,স্পন্দিত করা, কাঁপা
vice,পাপ, অন্যায়, স্ক্রু আঁটার যন্ত্র
vicinity,নিকটবর্তী এলাকা, সান্নিধ্য
victim,বলি, শিকার, ক্ষতিগ্রস্ত ব্যক্তি
victor,বিজয়ী, জয়ী ব্যক্তি
victory,বিজয়, জয়
view,দৃশ্য, মতামত, দেখা, বিবেচনা করা
vigor,শক্তি, তেজ, উদ্যম
vile,নিচ, জঘন্য
village,গ্রাম, পল্লী
villain,খলনায়ক, দুর্বৃত্ত
vine,লতা, আঙ্গুর লতা
violence,হিংসা, প্রচণ্ডতা
violent,হিংস্র, প্রচণ্ড
violet,বেগুনী ফুল, বেগুনী রঙ
violin,বেহালা, বাদ্যযন্ত্র
virgin,কুমারী, খাঁটি, অনস্পৃষ্ট
virtue,গুণ, নৈতিকতা, পুণ্য
visible,দৃশ্যমান, স্পষ্ট
vision,দৃষ্টিশক্তি, স্বপ্ন, দিব্যদৃষ্টি
visit,পরিদর্শন করা, দেখা করতে যাওয়া, সফর
visitor,পরিদর্শক, অতিথি
vital,অপরিহার্য, প্রাণবন্ত
vivid,উজ্জ্বল, প্রাণবন্ত
vocabulary,শব্দভান্ডার, শব্দাবলী
vocal,কণ্ঠ্য, সোচ্চার, স্বর সংক্রান্ত
voice,কণ্ঠস্বর, প্রকাশ করা, মতামত
void,শূন্য, বাতিল করা, শূন্যস্থান
volcano,আগ্নেয়গিরি, অগ্নিগিরি
volume,আয়তন, খণ্ড, আওয়াজের মাত্রা
voluntary,স্বেচ্ছামূলক, স্বতঃস্ফূর্ত
volunteer,স্বেচ্ছাসেবক, স্বেচ্ছায় কাজ করা
vote,ভোট দেওয়া, রায়, মতামত
vow,শপথ করা, মানত করা, অঙ্গীকার
voyage,জলযাত্রা, সমুদ্রভ্রমণ করা
vulgar,অশালীন, গ্রাম্য, সাধারণ
wade,কষ্টে চলা, জল ভেঙে চলা
wag,নাড়ানো, লেজ নাড়ানো, রসিক ব্যক্তি
wage,মজুরি, যুদ্ধ পরিচালনা করা
wagon,ওয়াগন, মালগাড়ি, চার চাকার গাড়ি
wail,বিলাপ করা, রোদন
waist,কোমর, মধ্যভাগ
wait,অপেক্ষা করা, প্রতীক্ষা, সেবা করা
waiter,পরিবেশক, ওয়েটার
wake,জাগ্রত করা, জাগা, জাহাজের পেছনের স্রোত
walk,হাঁটা, ভ্রমণ, হাঁটার পথ
wall,দেয়াল, প্রাচীর, বেষ্টন করা
wander,ঘুরে বেড়ানো, লক্ষ্যভ্রষ্ট হওয়া
want,চাওয়া, অভাব, প্রয়োজন
war,যুদ্ধ, লড়াই করা
ward,ওয়ার্ড, বিভাগ, অভিভাবকত্বে থাকা ব্যক্তি, পাহারা দেওয়া
warm,উষ্ণ, আন্তরিক, গরম করা
warmth,উষ্ণতা, আন্তরিকতা
warn,সতর্ক করা, সাবধান করা
warrior,যোদ্ধা, বীর
wash,ধোয়া, ধৌত করা, ধোলাই
waste,অপচয় করা, বর্জ্য, নষ্ট করা
watch,ঘড়ি, পাহারা দেওয়া, লক্ষ্য করা
water,পানি, জল দেওয়া
wave,ঢেউ, হাত নাড়ানো, তরঙ্গ, দোলা দেওয়া
wax,মোম, বৃদ্ধি পাওয়া, মোম মাখানো
way,পথ, পদ্ধতি, অভিমুখ
we,আমরা, আমরা সকলে
weak,দুর্বল, ভঙ্গুর
wealth,সম্পদ, ধনসম্পদ
weapon,অস্ত্র, হাতিয়ার
wear,পরিধান করা, ক্ষয় হওয়া, পোশাক
weary,ক্লান্ত, বিরক্তিকর, ক্লান্ত করা
weather,আবহাওয়া, অতিক্রম করা, টিকিয়া থাকা
weave,বোনা, তৈরি করা, বুনন
web,মাকড়সার জাল, জাল, তন্তু
wedding,বিয়ে, বিবাহ অনুষ্ঠান
wedge,গোঁজ, কিলক দিয়ে আটকানো
weed,আগাছা, আগাছা পরিষ্কার করা
week,সপ্তাহ, ৭ দিন সময়
weep,কাঁদা, রোদন করা
weigh,ওজন করা, বিবেচনা করা
weight,ওজন, ভার, গুরুত্ব দেওয়া
welcome,স্বাগত জানানো, স্বাগত, অভ্যর্থনা
welfare,কল্যাণ, মঙ্গল
well,ভালো, কূয়া, সুস্থ, ভালোভাবে
west,পশ্চিম, পশ্চিম দিক
wet,ভেজা, স্যাঁতসেঁতে করা
whale,তিমি মাছ, বিশাল আকার
what,কি, যাহা, যা
wheat,গম, গম গাছ
wheel,চাকা, ঘোরানো, চাকার ওপর চলা
when,যখন, কখন
where,যেখানে, কোথায়
whether,কিনা, অথবা
which,কোনটি, যাহা, যা
while,যখন, সময়কাল, যদিও
whip,চাবুক, চাবুক মারা, দ্রুত চলা
whisper,ফিসফিস করা, কানাকানি
whistle,বাঁশি, বাঁশি বাজানো, শিস
white,সাদা, শ্বেতবর্ণ
who,কে, যে, যিনি
whole,সম্পূর্ণ, অক্ষত
whom,কাকে, যাকে
whose,কার, যার
why,কেন, যে কারণে
wicked,দুষ্ট, পাপিষ্ঠ
wide,প্রশস্ত, চওড়া, ব্যাপকভাবে
widow,বিধবা, স্বামীহীনা নারী
width,প্রস্থ, চওড়া অংশ
wife,স্ত্রী, পত্নী
wild,বন্য, হিংস্র, অনিয়ন্ত্রিত
wilderness,মরুভূমি, নির্জন স্থান
will,ইচ্ছা, উইল, ইচ্ছা প্রকাশ করা
willing,ইচ্ছুক, স্বতঃস্ফূর্ত
win,জয় করা, জয়লাভ করা
wind,বাতাস, পাকানো, ঘোরানো
window,জানালা, বাতায়ন
wine,মদ, আঙ্গুর রস
wing,ডানা, পাখা, উড়ে যাওয়া
wink,চোখ টেপা, পলক
winter,শীতকাল, ঠাণ্ডা সময়
wipe,মুছে ফেলা, মোছা
wire,তার, তার দিয়ে বাঁধা, টেলিগ্রাম করা
wisdom,প্রজ্ঞা, জ্ঞান
wise,জ্ঞানী, বিচক্ষণ, ধরণ
wish,ইচ্ছা করা, আকাঙ্ক্ষা
wit,বুদ্ধি, রসিকতা
witch,ডাইনি, জাদুকরী
with,সাথে, দ্বারা, দিয়ে
withdraw,প্রত্যাহার করা, তুলে নেওয়া
wither,ম্লান হওয়া, শুকিয়ে যাওয়া
within,ভেতরে, মধ্যে
without,ব্যতীত, ছাড়া, বাইরে
witness,সাক্ষী, সাক্ষ্য দেওয়া, প্রত্যক্ষ করা
witty,রসিক, বুদ্ধিমান
woe,দুঃখ, শোক, দুর্দশা
wolf,নেকড়ে বাঘ, লোভী লোক
woman,নারী, ভদ্রমহিলা
wonder,আশ্চর্য হওয়া, বিস্ময়
wood,কাঠ, বন, জঙ্গল
wool,পশম, উল
word,শব্দ, প্রতিশ্রুতি, কথা বলা
work,কাজ, চাকরি, পরিশ্রম করা, চালানো
world,পৃথিবী, জগৎ
worm,পোকা, কীট
worry,উদ্বেগ, চিন্তিত হওয়া, বিরক্ত করা
worse,আরও খারাপ, নিকৃষ্টতর
worship,উপাসনা করা, পূজা করা, ভক্তি
worst,সবচেয়ে খারাপ, নিকৃষ্টতম
worth,মূল্য, যোগ্য, সম্পদ
worthy,যোগ্য, উপযুক্ত ব্যক্তি
wound,ক্ষত, আঘাত করা, আহত
wrap,জড়ানো, মোড়ক, গুটিয়ে ফেলা
wrath,ক্রোধ, রাগ
wreck,ধ্বংসাবশেষ, ধ্বংস করা
wrestle,কুস্তি করা, সংগ্রাম করা
wretched,দুঃখী, হতভাগ্য, জঘন্য
wrinkle,কুঁচকানো, ভাঁজ, কুঁচকে যাওয়া
wrist,কব্জি, হাতের কব্জি
write,লেখা, রচনা করা, চিঠি লেখা
writer,লেখক, গ্রন্থকার
writing,লিখনী, হস্তাক্ষর, রচনা
wrong,ভুল, অন্যায়, ক্ষতি করা
yard,গজ, উঠান, পরিমাপ করা
yarn,সুতা, গল্প, সুতো তৈরি করা
yawn,হাই তোলা, হাই
year,বছর, বছরকাল, ৩৬৫ দিন
yearn,আকাঙ্ক্ষা করা, ব্যাকুল হওয়া
yeast,খামির, গাঁজানো
yell,চিৎকার করা, চিৎকার
yellow,হলুদ রঙ, ভীরু
yes,হ্যাঁ, সম্মতি
yesterday,গতকাল, গত দিন
yet,এখনও, তবুও, এ পর্যন্ত
yield,উৎপাদন করা, বশ্যতা স্বীকার করা, ফসল
yoke,জোয়াল, জোয়াল দিয়ে বাঁধা, দাসত্ব
yolk,কুসুম, ডিমের কুসুম
yon,ঐ দূরবর্তী, ওইখানে
yonder,ঐ স্থানে, ওদিকে
you,তুমি, আপনারা, আপনাকে
young,তরুণ, যুবক, অনভিজ্ঞ
your,তোমার, আপনাদের
youth,যৌবন, যুবক দল, তারুণ্য
zeal,উদ্যম, প্রবল আগ্রহ
zealous,উদ্যমী, অতি আগ্রহী
zebra,জেব্রা, জেব্রা ডোরাকাটা
zenith,চূড়া, সুবিন্দু
zero,শূন্য, ০ সংখ্যা
zest,উত্সাহ, স্বাদ, খোসা
zigzag,আঁকাবাঁকা, আঁকাবাঁকা পথ
zinc,দস্তা, জিংক
zone,অঞ্চল, এলাকা, বলয়ভুক্ত করা
zoo,চিড়িয়াখানা, পশুপাল
zoology,প্রাণীবিজ্ঞান, প্রাণীতত্ত্ব
